urls,title,details,channel,ytkey,hours,minutes,views,age_years,age_months,search_key
https://www.youtube.com/watch?v=DdRsefSImM8,Raag Ahir Bhairav - Kaushiki Chakraborty,"Raag Ahir Bhairav - Kaushiki Chakraborty by Ankita A 1 year ago 43 minutes 66,388 views",Ankita A,DdRsefSImM8,0,43,66388,1,0,raag+ahirbhairav
https://www.youtube.com/watch?v=q_yo0SELmVg,Raga Ahir Bhairav -  Kishori Amonkar (Maestro's Choice Series one) | Music Today,"Raga Ahir Bhairav -  Kishori Amonkar (Maestro's Choice Series one) | Music Today by Music Today 5 years ago 30 minutes 34,423 views",Music Today,q_yo0SELmVg,0,30,34423,5,0,raag+ahirbhairav
https://www.youtube.com/watch?v=W7mameo-mA0,Raag Ahir Bhairav in Bansuri (flute) by D. Madhusudan,"Raag Ahir Bhairav in Bansuri (flute) by D. Madhusudan by Arindam Mazumdar 9 years ago 40 minutes 2,360,069 views",Arindam Mazumdar,W7mameo-mA0,0,40,360069,9,0,raag+ahirbhairav
https://www.youtube.com/watch?v=YIEMBNwkbrw,Raga Ahir Bhairav - Begum Parveen Sultana,"Raga Ahir Bhairav - Begum Parveen Sultana by SurTaal 6 years ago 15 minutes 181,941 views",SurTaal,YIEMBNwkbrw,0,15,181941,6,0,raag+ahirbhairav
https://www.youtube.com/watch?v=3xSsJ9GC6lQ,Raga Ahir Bhairav - Ashwini Bhide,"Raga Ahir Bhairav - Ashwini Bhide by SurTaal 6 years ago 44 minutes 192,356 views",SurTaal,3xSsJ9GC6lQ,0,44,192356,6,0,raag+ahirbhairav
https://www.youtube.com/watch?v=bUwLHLSoPVw,Healing Ragas || Rag Ahir Bhairav || Shakthidhar || Classical Instrumental ||,"Healing Ragas || Rag Ahir Bhairav || Shakthidhar || Classical Instrumental || by Geethanjali - Indian Classical Music 8 months ago 20 minutes 132,775 views",Geethanjali - Indian Classical Music,bUwLHLSoPVw,0,20,132775,0,8,raag+ahirbhairav
https://www.youtube.com/watch?v=-4y5F4qJNC0,Raag Ahir Bhairav | Pandit Venkatesh Kumar,"Raag Ahir Bhairav | Pandit Venkatesh Kumar by AMG Vlogs 2 years ago 40 minutes 13,442 views",AMG Vlogs,-4y5F4qJNC0,0,40,13442,2,0,raag+ahirbhairav
https://www.youtube.com/watch?v=9GlMrtTfSD0,Pt. Hariprasad Chaurasia /Raga Ahir Bhairav / Indian Classical Instrumental,"Pt. Hariprasad Chaurasia /Raga Ahir Bhairav / Indian Classical Instrumental by SAGARIKA CLASSICAL 5 years ago 30 minutes 406,490 views",SAGARIKA CLASSICAL,9GlMrtTfSD0,0,30,406490,5,0,raag+ahirbhairav
https://www.youtube.com/watch?v=MI8oy9LERFQ,Ahir Bhairav | Poocho Na & Raghuvar Thumako| RaGaMedley |,"Ahir Bhairav | Poocho Na & Raghuvar Thumako| RaGaMedley | by Ranjani - Gayatri 8 months ago 6 minutes, 42 seconds 57,454 views",Ranjani - Gayatri,MI8oy9LERFQ,0,6,57454,0,8,raag+ahirbhairav
https://www.youtube.com/watch?v=5k_QRPlk3w0,Albela Sajan Aayo Re by Ustad Rashid Khan in Raag Ahir Bhairav,"Albela Sajan Aayo Re by Ustad Rashid Khan in Raag Ahir Bhairav by Akash Upadhyay 4 years ago 11 minutes, 26 seconds 840,736 views",Akash Upadhyay,5k_QRPlk3w0,0,11,840736,4,0,raag+ahirbhairav
